t (s),x_rec_baseline (m),y_rec_baseline (m),clock_bias_baseline (m),x_rec (m),y_rec (m),clock_bias (m)
0,3185500,3185500,1000,2653233.2805712,3468121.58355666,0.0114895312543577
1,3185498.7602641,3185499.59252821,1016.12009433731,3183075.97329865,3185807.67445255,-2849.41601975053
2,3185500.14306577,3185499.64484695,1007.07862928242,3185487.47082987,3185501.13678793,995.668770914385
3,3185498.48263702,3185498.95676643,1007.835848065,3185492.91053304,3185499.9342866,1002.72631120501
4,3185498.57985806,3185498.06439645,1005.54803181898,3185494.9324078,3185498.99455416,1002.25820475045
5,3185499.16475568,3185497.40383827,1010.89558030302,3185495.72537022,3185498.2764107,1007.63716690409
6,3185499.91064591,3185495.65207033,1001.24412272967,3185497.19642558,3185496.87693586,998.922618348727
7,3185499.3640749,3185495.61357858,1003.19359057957,3185497.41184658,3185496.27292565,1001.33494998662
8,3185498.99380438,3185494.4895011,1020.55995419614,3185496.42052894,3185495.47969663,1017.76923573746
9,3185497.49101562,3185495.06025968,1011.26054261703,3185497.07596969,3185495.23366704,1011.03813489519
10,3185496.72633963,3185495.31111393,1009.37889942298,3185497.11857674,3185495.24730435,1009.76678911391
11,3185498.0488989,3185497.24579598,1021.90331399024,3185496.55731129,3185496.5304039,1020.40191155073
12,3185497.35193453,3185497.78290009,1028.85147292707,3185496.18234339,3185497.35335514,1027.68717770055
13,3185495.38307795,3185498.13707778,1024.29885718944,3185496.29863022,3185497.73423903,1025.21383138933
14,3185495.10901005,3185498.14269379,1006.57022813026,3185497.39902109,3185497.75158375,1009.03789090477
15,3185495.15220332,3185496.17600934,1001.76285870102,3185497.41311576,3185496.68748671,1003.83256286942
16,3185494.8943526,3185495.7842727,1028.72164020072,3185495.13850098,3185496.2746644,1028.28553070871
17,3185493.7566619,3185494.56399949,1029.83316379055,3185494.69490968,3185495.25013615,1030.53039085137
18,3185492.35852573,3185494.08653666,1036.26441185558,3185493.79721231,3185494.52993068,1037.3218819737
19,3185491.09962855,3185494.34601415,1020.01739632584,3185494.51687057,3185494.15150744,1023.40372334852
20,3185490.9503517,3185493.01220999,1005.5822158527,3185495.07273629,3185493.1803395,1009.5494047011
21,3185490.62831498,3185492.63158924,1011.51789446882,3185494.0939082,3185492.68093976,1014.45789340163
22,3185489.41556071,3185492.5308906,1016.20490174996,3185493.10530611,3185492.39743387,1019.3656512071
23,3185489.22768922,3185492.50784008,1013.17707829349,3185492.83850792,3185492.22900874,1016.47785006415
24,3185487.59961565,3185492.25718296,1019.76509843138,3185491.64594136,3185492.03314806,1023.21006472443
25,3185486.39778824,3185491.85772941,1012.49452364787,3185491.43917061,3185491.60029752,1017.13685558736
26,3185485.96824867,3185489.64806394,1000.2376594565,3185491.55277645,3185490.09201641,1005.41954682225
27,3185486.59841492,3185489.78586,1006.97766730453,3185490.5256727,3185489.70365202,1010.34562462397
28,3185485.40391385,3185490.85503951,994.86262078404,3185490.74280408,3185489.98923928,999.942878642692
29,3185486.08437113,3185492.26136472,991.685224625775,3185490.58451203,3185491.00155362,995.90970133104
30,3185485.71389092,3185492.28802782,997.614100443258,3185489.63614468,3185491.52648214,1001.04793407843
31,3185485.62454299,3185494.33017266,999.619513506853,3185489.13586371,3185492.92874356,1002.8432451179
32,3185486.78933909,3185493.41479508,993.951134766369,3185489.36436304,3185493.02104932,996.434829860265
33,3185486.13564247,3185492.76922273,998.664155407173,3185488.60728764,3185492.74941043,1000.7513346897
34,3185486.45723944,3185492.3630511,984.548458378813,3185489.35321633,3185492.29057989,987.447469439001
35,3185485.0931311,3185493.37350609,990.43224081192,3185488.41373665,3185492.74090273,993.300167117464
36,3185485.21571451,3185491.91121048,1003.92961348884,3185487.03536764,3185492.21385859,1005.21842768175
37,3185486.35898005,3185492.77413684,999.832963104209,3185487.32336153,3185492.45697953,1000.82823133198
38,3185487.846957,3185494.05756963,1017.49444272613,3185486.30146471,3185493.53507914,1015.81770970605
39,3185488.23334391,3185494.15320324,1011.52565324678,3185486.98776029,3185493.94066972,1010.57469528871
40,3185488.08414952,3185493.99688234,1006.39078380372,3185487.48674249,3185493.98503635,1005.97673214748
41,3185488.12778001,3185492.88373191,1002.28310605481,3185487.81936234,3185493.35374288,1002.05115165448
42,3185487.3201961,3185494.20128293,1015.22427054382,3185486.82930205,3185493.92751341,1014.51578593817
43,3185486.52469447,3185494.53462143,1018.12494157366,3185486.54273765,3185494.29157196,1018.08187347412
44,3185485.40905223,3185495.00034655,1010.41522393449,3185486.91765959,3185494.57922201,1011.94686417668
45,3185484.66687406,3185495.1921608,1014.43100565375,3185486.36094899,3185494.84964301,1015.87293162553
46,3185483.36433493,3185496.07253515,1008.89031662364,3185486.36831625,3185495.35140847,1011.72977368545
47,3185485.08372462,3185496.05981384,1018.01519701769,3185485.71845109,3185495.75065791,1018.44672696829
48,3185485.35975115,3185496.39181689,991.88691755328,3185487.57595915,3185495.87385987,994.490227378798
49,3185486.04182332,3185495.68020847,993.65784732526,3185487.34870714,3185495.68676512,994.807655264844
50,3185485.21950763,3185495.16310459,996.946519553317,3185486.78454424,3185495.30868987,998.23157108626
51,3185484.1628156,3185495.6883635,983.6243154004,3185487.36354096,3185495.28273803,986.782868863246
52,3185484.28800315,3185495.41080177,992.065900946939,3185486.43302535,3185495.26258713,993.810957781977
53,3185483.93321423,3185495.53845695,995.635587802838,3185485.86307981,3185495.32489332,997.284708971629
54,3185484.54883309,3185495.3601305,989.609585177805,3185486.16964598,3185495.21894546,991.212879291076
55,3185484.2088447,3185494.26390919,988.909922367556,3185485.93433977,3185494.56933564,990.425067287362
56,3185485.1561769,3185493.73834102,975.432969125495,3185486.82705149,3185493.93380449,977.21361654819
57,3185486.12360841,3185493.29990289,994.335335682082,3185485.45027337,3185493.68514833,993.303545389846
58,3185485.55663297,3185494.69576389,994.532173970516,3185485.42484832,3185494.27684498,994.43375033701
59,3185484.51493645,3185494.11590509,995.478324818324,3185485.17951976,3185494.15287577,996.026530377596
