t (s),x_sat_1 (m),y_sat_1 (m),R_1 (m),x_sat_2 (m),y_sat_2 (m),R_2 (m),x_sat_3 (m),y_sat_3 (m),R_3 (m),x_sat_4 (m),y_sat_4 (m),R_4 (m)
0,2.165e+07,-1.25e+07,2.423e+07,2.415e+07,-6.47e+06,2.308e+07,2.415e+07,6.47e+06,2.122e+07,2.165e+07,1.25e+07,2.068e+07
1,2.165e+07,-1.25e+07,2.423e+07,2.415e+07,-6.468e+06,2.308e+07,2.415e+07,6.473e+06,2.122e+07,2.165e+07,1.25e+07,2.068e+07
2,2.165e+07,-1.25e+07,2.423e+07,2.415e+07,-6.466e+06,2.308e+07,2.415e+07,6.475e+06,2.122e+07,2.165e+07,1.25e+07,2.068e+07
3,2.165e+07,-1.249e+07,2.423e+07,2.415e+07,-6.464e+06,2.308e+07,2.415e+07,6.477e+06,2.122e+07,2.165e+07,1.251e+07,2.068e+07
4,2.165e+07,-1.249e+07,2.423e+07,2.415e+07,-6.462e+06,2.308e+07,2.415e+07,6.479e+06,2.122e+07,2.165e+07,1.251e+07,2.068e+07
5,2.166e+07,-1.249e+07,2.423e+07,2.415e+07,-6.46e+06,2.308e+07,2.415e+07,6.481e+06,2.122e+07,2.165e+07,1.251e+07,2.068e+07
6,2.166e+07,-1.249e+07,2.423e+07,2.415e+07,-6.458e+06,2.308e+07,2.414e+07,6.483e+06,2.122e+07,2.164e+07,1.251e+07,2.068e+07
7,2.166e+07,-1.249e+07,2.423e+07,2.415e+07,-6.456e+06,2.308e+07,2.414e+07,6.485e+06,2.122e+07,2.164e+07,1.251e+07,2.068e+07
8,2.166e+07,-1.248e+07,2.423e+07,2.415e+07,-6.454e+06,2.308e+07,2.414e+07,6.487e+06,2.122e+07,2.164e+07,1.252e+07,2.068e+07
9,2.166e+07,-1.248e+07,2.423e+07,2.415e+07,-6.452e+06,2.308e+07,2.414e+07,6.489e+06,2.122e+07,2.164e+07,1.252e+07,2.068e+07
