t (s),x_rec (m),y_rec (m),ctr (m),x_sat_1 (m),y_sat_1 (m),R_1 (m),x_sat_2 (m),y_sat_2 (m),R_2 (m),x_sat_3 (m),y_sat_3 (m),R_3 (m),x_sat_4 (m),y_sat_4 (m),R_4 (m)
0,6.371e+06,0,3e+08,2.5e+07,0,3.186e+08,2.5e+07,0,3.186e+08,2.5e+07,0,3.186e+08,2.5e+07,0,3.186e+08
10,6.371e+06,0,3e+08,2.5e+07,2.175e+04,3.186e+08,2.462e+07,4.363e+06,3.188e+08,2.348e+07,8.571e+06,3.191e+08,2.164e+07,1.252e+07,3.197e+08
20,6.371e+06,0,3e+08,2.5e+07,4.35e+04,3.186e+08,2.461e+07,4.384e+06,3.188e+08,2.348e+07,8.591e+06,3.191e+08,2.163e+07,1.254e+07,3.197e+08
30,6.371e+06,0,3e+08,2.5e+07,6.525e+04,3.186e+08,2.461e+07,4.405e+06,3.188e+08,2.347e+07,8.612e+06,3.191e+08,2.162e+07,1.256e+07,3.198e+08
40,6.371e+06,0,3e+08,2.5e+07,8.7e+04,3.186e+08,2.46e+07,4.427e+06,3.188e+08,2.346e+07,8.632e+06,3.191e+08,2.161e+07,1.258e+07,3.198e+08
50,6.371e+06,0,3e+08,2.5e+07,1.087e+05,3.186e+08,2.46e+07,4.448e+06,3.188e+08,2.345e+07,8.653e+06,3.192e+08,2.16e+07,1.259e+07,3.198e+08
60,6.371e+06,0,3e+08,2.5e+07,1.305e+05,3.186e+08,2.46e+07,4.47e+06,3.188e+08,2.345e+07,8.673e+06,3.192e+08,2.159e+07,1.261e+07,3.198e+08
70,6.371e+06,0,3e+08,2.5e+07,1.522e+05,3.186e+08,2.459e+07,4.491e+06,3.188e+08,2.344e+07,8.693e+06,3.192e+08,2.157e+07,1.263e+07,3.198e+08
80,6.371e+06,0,3e+08,2.5e+07,1.74e+05,3.186e+08,2.459e+07,4.512e+06,3.188e+08,2.343e+07,8.714e+06,3.192e+08,2.156e+07,1.265e+07,3.198e+08
90,6.371e+06,0,3e+08,2.5e+07,1.957e+05,3.186e+08,2.459e+07,4.534e+06,3.188e+08,2.342e+07,8.734e+06,3.192e+08,2.155e+07,1.267e+07,3.198e+08
100,6.371e+06,0,3e+08,2.5e+07,2.175e+05,3.186e+08,2.458e+07,4.555e+06,3.188e+08,2.342e+07,8.755e+06,3.192e+08,2.154e+07,1.269e+07,3.198e+08
110,6.371e+06,0,3e+08,2.5e+07,2.392e+05,3.186e+08,2.458e+07,4.577e+06,3.188e+08,2.341e+07,8.775e+06,3.192e+08,2.153e+07,1.271e+07,3.198e+08
120,6.371e+06,0,3e+08,2.5e+07,2.61e+05,3.186e+08,2.457e+07,4.598e+06,3.188e+08,2.34e+07,8.795e+06,3.192e+08,2.152e+07,1.273e+07,3.198e+08
130,6.371e+06,0,3e+08,2.5e+07,2.827e+05,3.186e+08,2.457e+07,4.619e+06,3.188e+08,2.339e+07,8.816e+06,3.192e+08,2.151e+07,1.274e+07,3.198e+08
140,6.371e+06,0,3e+08,2.5e+07,3.045e+05,3.186e+08,2.457e+07,4.641e+06,3.188e+08,2.339e+07,8.836e+06,3.192e+08,2.15e+07,1.276e+07,3.198e+08
150,6.371e+06,0,3e+08,2.5e+07,3.262e+05,3.186e+08,2.456e+07,4.662e+06,3.188e+08,2.338e+07,8.856e+06,3.192e+08,2.149e+07,1.278e+07,3.198e+08
160,6.371e+06,0,3e+08,2.5e+07,3.48e+05,3.186e+08,2.456e+07,4.683e+06,3.188e+08,2.337e+07,8.877e+06,3.192e+08,2.147e+07,1.28e+07,3.198e+08
170,6.371e+06,0,3e+08,2.5e+07,3.697e+05,3.186e+08,2.455e+07,4.705e+06,3.188e+08,2.336e+07,8.897e+06,3.192e+08,2.146e+07,1.282e+07,3.198e+08
180,6.371e+06,0,3e+08,2.5e+07,3.915e+05,3.186e+08,2.455e+07,4.726e+06,3.188e+08,2.336e+07,8.917e+06,3.192e+08,2.145e+07,1.284e+07,3.198e+08
190,6.371e+06,0,3e+08,2.5e+07,4.132e+05,3.186e+08,2.455e+07,4.748e+06,3.188e+08,2.335e+07,8.938e+06,3.192e+08,2.144e+07,1.286e+07,3.198e+08
200,6.371e+06,0,3e+08,2.5e+07,4.35e+05,3.186e+08,2.454e+07,4.769e+06,3.188e+08,2.334e+07,8.958e+06,3.192e+08,2.143e+07,1.287e+07,3.198e+08
210,6.371e+06,0,3e+08,2.5e+07,4.567e+05,3.186e+08,2.454e+07,4.79e+06,3.188e+08,2.333e+07,8.978e+06,3.192e+08,2.142e+07,1.289e+07,3.198e+08
220,6.371e+06,0,3e+08,2.5e+07,4.785e+05,3.186e+08,2.453e+07,4.812e+06,3.188e+08,2.332e+07,8.999e+06,3.192e+08,2.141e+07,1.291e+07,3.198e+08
230,6.371e+06,0,3e+08,2.499e+07,5.002e+05,3.186e+08,2.453e+07,4.833e+06,3.188e+08,2.332e+07,9.019e+06,3.192e+08,2.14e+07,1.293e+07,3.198e+08
240,6.371e+06,0,3e+08,2.499e+07,5.219e+05,3.186e+08,2.452e+07,4.854e+06,3.188e+08,2.331e+07,9.039e+06,3.192e+08,2.138e+07,1.295e+07,3.198e+08
250,6.371e+06,0,3e+08,2.499e+07,5.437e+05,3.186e+08,2.452e+07,4.876e+06,3.188e+08,2.33e+07,9.059e+06,3.192e+08,2.137e+07,1.297e+07,3.198e+08
260,6.371e+06,0,3e+08,2.499e+07,5.654e+05,3.186e+08,2.452e+07,4.897e+06,3.188e+08,2.329e+07,9.08e+06,3.192e+08,2.136e+07,1.299e+07,3.198e+08
270,6.371e+06,0,3e+08,2.499e+07,5.872e+05,3.186e+08,2.451e+07,4.918e+06,3.188e+08,2.329e+07,9.1e+06,3.192e+08,2.135e+07,1.301e+07,3.198e+08
280,6.371e+06,0,3e+08,2.499e+07,6.089e+05,3.186e+08,2.451e+07,4.94e+06,3.188e+08,2.328e+07,9.12e+06,3.192e+08,2.134e+07,1.302e+07,3.198e+08
290,6.371e+06,0,3e+08,2.499e+07,6.307e+05,3.186e+08,2.45e+07,4.961e+06,3.188e+08,2.327e+07,9.14e+06,3.192e+08,2.133e+07,1.304e+07,3.198e+08
300,6.371e+06,0,3e+08,2.499e+07,6.524e+05,3.186e+08,2.45e+07,4.982e+06,3.188e+08,2.326e+07,9.161e+06,3.192e+08,2.132e+07,1.306e+07,3.198e+08
310,6.371e+06,0,3e+08,2.499e+07,6.742e+05,3.186e+08,2.449e+07,5.004e+06,3.188e+08,2.325e+07,9.181e+06,3.192e+08,2.131e+07,1.308e+07,3.199e+08
